Date,PM2.5 AQI Value,AQI Category,Site Name,Site ID,Source
7/5/15,167,Unhealthy,Glendora,06-037-0016,AQS
7/6/15,75,Moderate,Reseda,06-037-1201,AQS
7/7/15,82,Moderate,Reseda,06-037-1201,AQS
7/8/15,67,Moderate,Reseda,06-037-1201,AQS
7/9/15,62,Moderate,Reseda,06-037-1201,AQS
7/10/15,57,Moderate,Reseda,06-037-1201,AQS
7/11/15,58,Moderate,Reseda,06-037-1201,AQS
7/12/15,61,Moderate,Reseda,06-037-1201,AQS
7/13/15,65,Moderate,Reseda,06-037-1201,AQS
7/14/15,66,Moderate,Reseda,06-037-1201,AQS
7/15/15,70,Moderate,Reseda,06-037-1201,AQS
7/16/15,72,Moderate,Reseda,06-037-1201,AQS
7/17/15,59,Moderate,Reseda,06-037-1201,AQS
7/18/15,63,Moderate,Reseda,06-037-1201,AQS
7/19/15,58,Moderate,Reseda,06-037-1201,AQS
7/20/15,54,Moderate,Reseda,06-037-1201,AQS
7/21/15,52,Moderate,Reseda,06-037-1201,AQS
7/22/15,48,Good,Reseda,06-037-1201,AQS
7/23/15,58,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
7/24/15,64,Moderate,Glendora,06-037-0016,AQS
7/25/15,60,Moderate,Reseda,06-037-1201,AQS
7/26/15,58,Moderate,Reseda,06-037-1201,AQS
7/27/15,60,Moderate,Reseda,06-037-1201,AQS
7/28/15,69,Moderate,Reseda,06-037-1201,AQS
7/29/15,71,Moderate,Glendora,06-037-0016,AQS
7/30/15,75,Moderate,Reseda,06-037-1201,AQS
7/31/15,70,Moderate,Glendora,06-037-0016,AQS
8/1/15,75,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/2/15,72,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/3/15,71,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/4/15,62,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/5/15,59,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/6/15,66,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/7/15,65,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/8/15,62,Moderate,Glendora,06-037-0016,AQS
8/9/15,62,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/10/15,59,Moderate,Glendora,06-037-0016,AQS
8/11/15,66,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/12/15,57,Moderate,Glendora,06-037-0016,AQS
8/13/15,62,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/14/15,64,Moderate,Reseda,06-037-1201,AQS
8/15/15,64,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/16/15,79,Moderate,Glendora,06-037-0016,AQS
8/17/15,83,Moderate,Reseda,06-037-1201,AQS
8/18/15,77,Moderate,Reseda,06-037-1201,AQS
8/19/15,83,Moderate,Glendora,06-037-0016,AQS
8/20/15,83,Moderate,Glendora,06-037-0016,AQS
8/21/15,87,Moderate,Glendora,06-037-0016,AQS
8/22/15,89,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/23/15,76,Moderate,Glendora,06-037-0016,AQS
8/24/15,78,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/25/15,81,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/26/15,88,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/27/15,73,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
8/28/15,70,Moderate,Los Angeles-North Main Street,06-037-1103,AQS
